                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0527,                 2.8269,                 1.4144,                  0.564,                0.56913,                 0.5819,                0.39444,                0.91424,                 2.1256,                 1.4111,             0.00030266,             0.00030266,             0.00030266
                      2,                 1.0308,                 1.7149,                 1.3746,                 0.5722,                0.59819,                0.61348,                0.43905,                 0.8812,                 1.6578,                 1.3646,              0.0005457,              0.0005457,              0.0005457
                      3,                 1.0008,                 1.3855,                   1.34,                0.65941,                0.60357,                0.65059,                0.47943,                0.84293,                  1.344,                 1.3481,             0.00072874,             0.00072874,             0.00072874
                      4,                0.94624,                  1.194,                 1.2909,                0.62594,                0.68097,                0.69225,                0.53718,                0.75203,                 1.1788,                 1.2505,             0.00063903,             0.00063903,             0.00063903
                      5,                0.90329,                 1.0922,                 1.2588,                0.70522,                0.64877,                0.70708,                0.53038,                0.76949,                 1.1394,                 1.2694,             0.00063903,             0.00063903,             0.00063903
                      6,                0.85837,                0.97877,                 1.2235,                0.69457,                0.70754,                0.74334,                0.57252,                0.72024,                 1.0689,                 1.2266,             0.00054904,             0.00054904,             0.00054904
                      7,                0.81594,                0.89669,                 1.1929,                0.76571,                0.72527,                0.78803,                0.60033,                0.70061,                 1.0124,                 1.1956,             0.00045904,             0.00045904,             0.00045904
                      8,                0.77103,                0.82614,                 1.1541,                 0.7293,                0.75718,                0.78541,                0.61233,                0.63778,                0.92092,                  1.137,             0.00036905,             0.00036905,             0.00036905
                      9,                0.73452,                0.76555,                 1.1239,                0.76138,                0.76884,                0.81493,                0.64417,                0.60782,                0.86211,                 1.1212,             0.00027906,             0.00027906,             0.00027906
                     10,                 0.6988,                0.70456,                 1.0974,                 0.7856,                0.79505,                 0.8325,                0.65949,                0.59823,                0.77809,                 1.1115,             0.00018907,             0.00018907,             0.00018907
