                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3014,                 3.1213,                 1.2831,                0.01291,                0.49468,                0.13907,                0.04892,                 1.9888,                 3.1966,                 1.1538,             0.00054518,             0.00054518,             0.00054518
                      2,                 2.1161,                 1.9811,                 1.2078,                0.40662,                 0.3746,                0.39852,                0.14757,                 1.9828,                 2.2313,                 1.1531,             0.00099187,             0.00099187,             0.00099187
                      3,                 2.0532,                 1.7168,                 1.1957,                0.65685,                0.66378,                 0.6928,                0.26171,                 1.9984,                 1.6631,                 1.1811,              0.0013285,              0.0013285,              0.0013285
                      4,                  2.053,                 1.6375,                 1.2027,                0.73947,                0.62278,                0.72848,                0.28955,                 1.9245,                 1.4853,                 1.1639,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.9832,                 1.4512,                 1.1887,                0.71206,                0.72521,                0.75383,                0.31112,                 1.9042,                 1.3156,                 1.1512,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.9945,                 1.3783,                 1.1887,                0.70288,                0.63376,                0.71572,                0.28849,                 1.9759,                 1.4211,                 1.1682,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.9113,                 1.2787,                 1.1549,                0.77898,                0.73389,                0.79239,                0.32601,                 1.8975,                 1.2296,                 1.1451,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.9292,                   1.27,                 1.1552,                0.79279,                0.71141,                0.76845,                0.31962,                 1.8879,                 1.2477,                 1.1398,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.8976,                 1.2333,                 1.1342,                0.79737,                0.78338,                0.81994,                0.33617,                 1.9151,                  1.181,                 1.1465,             0.00051177,             0.00051177,             0.00051177
                     10,                  1.891,                 1.1695,                 1.1343,                0.83621,                0.77897,                0.85717,                0.35835,                 1.8939,                 1.1388,                 1.1326,             0.00034674,             0.00034674,             0.00034674
